epoch,step,train_loss
0,49,0.037939902395009995
0,99,0.0354546494781971
0,149,0.03445179760456085
0,199,0.02909802459180355
1,249,0.02504143863916397
1,299,0.02571617066860199
1,349,0.03107152134180069
1,399,0.017382148653268814
2,449,0.019529378041625023
2,499,0.031771399080753326
2,549,0.03525526821613312
2,599,0.013839123770594597
3,649,0.021085722371935844
3,699,0.022234920412302017
3,749,0.03590414673089981
3,799,0.010134709998965263
4,849,0.013800371438264847
4,899,0.022653654217720032
4,949,0.03378725424408913
4,999,0.010779610835015774
5,1049,0.016542937606573105
5,1099,0.02131805568933487
5,1149,0.0322977676987648
5,1199,0.018032653257250786
6,1249,0.018393337726593018
6,1299,0.02084561064839363
6,1349,0.028917942196130753
6,1399,0.013772578909993172
7,1449,0.017691871151328087
7,1499,0.019669396802783012
7,1549,0.031003016978502274
7,1599,0.012504613026976585
8,1649,0.01649424433708191
8,1699,0.023238088935613632
8,1749,0.028572754934430122
8,1799,0.012090539559721947
9,1849,0.016507357358932495
9,1899,0.018664784729480743
9,1949,0.029911259189248085
9,1999,0.01484996359795332
10,2049,0.01813146099448204
10,2099,0.0214844960719347
10,2149,0.021552376449108124
10,2199,0.018514743074774742
11,2249,0.0161262396723032
11,2299,0.01908286288380623
11,2349,0.02611526846885681
11,2399,0.012349371798336506
12,2449,0.01777658984065056
12,2499,0.02067098207771778
12,2549,0.028217706829309464
12,2599,0.01959838904440403
13,2649,0.016677752137184143
13,2699,0.01875510811805725
13,2749,0.024728717282414436
13,2799,0.01691274903714657
14,2849,0.01528913527727127
14,2899,0.020303061231970787
14,2949,0.024602055549621582
14,2999,0.01278720423579216
15,3049,0.0170607827603817
15,3099,0.01844952255487442
15,3149,0.024128779768943787
15,3199,0.01639138162136078
16,3249,0.015142586082220078
16,3299,0.017318934202194214
16,3349,0.02334432303905487
16,3399,0.013315314427018166
17,3449,0.016148226335644722
17,3499,0.021428853273391724
17,3549,0.025515176355838776
17,3599,0.016037577763199806
18,3649,0.015064330771565437
18,3699,0.018900636583566666
18,3749,0.02510712295770645
18,3799,0.015142169781029224
19,3849,0.014297064393758774
19,3899,0.018351774662733078
19,3949,0.025303414091467857
19,3999,0.018882332369685173
20,4049,0.01525912620127201
20,4099,0.01599268987774849
20,4149,0.026625443249940872
20,4199,0.019480988383293152
21,4249,0.013612831942737103
21,4299,0.02063339203596115
21,4349,0.02407347410917282
21,4399,0.019991261884570122
22,4449,0.016108259558677673
22,4499,0.017155494540929794
22,4549,0.02574353851377964
22,4599,0.018652863800525665
23,4649,0.014178009703755379
23,4699,0.014783253893256187
23,4749,0.023582005873322487
23,4799,0.011779801920056343
24,4849,0.014448512345552444
24,4899,0.017651047557592392
24,4949,0.022848885506391525
24,4999,0.01249348558485508
25,5049,0.015643132850527763
25,5099,0.016502590849995613
25,5149,0.026697911322116852
25,5199,0.014283785596489906
26,5249,0.015058256685733795
26,5299,0.018253276124596596
26,5349,0.025496823713183403
26,5399,0.012557501904666424
27,5449,0.014350656419992447
27,5499,0.016694646328687668
27,5549,0.02250562608242035
27,5599,0.015074994415044785
28,5649,0.014166545122861862
28,5699,0.019377611577510834
28,5749,0.02433067560195923
28,5799,0.013429989106953144
29,5849,0.016357583925127983
29,5899,0.017853548750281334
29,5949,0.023147108033299446
29,5999,0.011053366586565971
30,6049,0.01423688791692257
30,6099,0.015024228021502495
30,6149,0.024533087387681007
30,6199,0.0115578044205904
31,6249,0.015930050984025
31,6299,0.016558799892663956
31,6349,0.022964775562286377
31,6399,0.012165476568043232
32,6449,0.014285961166024208
32,6499,0.0171511210501194
32,6549,0.023917965590953827
32,6599,0.012590675614774227
33,6649,0.014495180919766426
33,6699,0.014596298336982727
33,6749,0.02398521639406681
33,6799,0.009967893362045288
34,6849,0.015674982219934464
34,6899,0.016830651089549065
34,6949,0.024406464770436287
34,6999,0.014212379232048988
35,7049,0.01576988399028778
35,7099,0.01626231148838997
35,7149,0.023054692894220352
35,7199,0.012647997587919235
36,7249,0.014340395107865334
36,7299,0.019310493022203445
36,7349,0.022682353854179382
36,7399,0.009367149323225021
37,7449,0.015106914564967155
37,7499,0.017034675925970078
37,7549,0.022089185193181038
37,7599,0.009726399555802345
38,7649,0.015057021751999855
38,7699,0.0185235608369112
38,7749,0.022529369220137596
38,7799,0.014587905257940292
39,7849,0.01388685591518879
39,7899,0.0175836943089962
39,7949,0.02318054437637329
39,7999,0.009106157347559929
40,8049,0.012986351735889912
40,8099,0.016106976196169853
40,8149,0.022297605872154236
40,8199,0.009646273218095303
41,8249,0.013872416689991951
41,8299,0.018392454832792282
41,8349,0.020195621997117996
41,8399,0.010786820203065872
42,8449,0.01403186097741127
42,8499,0.018031399697065353
42,8549,0.023110855370759964
42,8599,0.013705211691558361
43,8649,0.014568783342838287
43,8699,0.017077190801501274
43,8749,0.024207619950175285
43,8799,0.01082455925643444
44,8849,0.01555917039513588
44,8899,0.016665741801261902
44,8949,0.022309118881821632
44,8999,0.01029764674603939
45,9049,0.01339692436158657
45,9099,0.01962832733988762
45,9149,0.023402448743581772
45,9199,0.013430673629045486
46,9249,0.013916753232479095
46,9299,0.018547166138887405
46,9349,0.02058275043964386
46,9399,0.011082288809120655
47,9449,0.013506768271327019
47,9499,0.014979241415858269
47,9549,0.022242233157157898
47,9599,0.010758630000054836
48,9649,0.013707318343222141
48,9699,0.017590194940567017
48,9749,0.023252522572875023
48,9799,0.010308626107871532
49,9849,0.014660552144050598
49,9899,0.0179555993527174
49,9949,0.02324351854622364
49,9999,0.009385205805301666
50,10049,0.013616031035780907
50,10099,0.015091372653841972
50,10149,0.02206413820385933
50,10199,0.010523525066673756
51,10249,0.013610096648335457
51,10299,0.017630260437726974
51,10349,0.021987948566675186
51,10399,0.008506549522280693
52,10449,0.014102398417890072
52,10499,0.015889523550868034
52,10549,0.02216554433107376
52,10599,0.008538995869457722
53,10649,0.015932314097881317
53,10699,0.01549018919467926
53,10749,0.02260803058743477
53,10799,0.009562264196574688
54,10849,0.014494638890028
54,10899,0.01785161718726158
54,10949,0.02282358705997467
54,10999,0.010467679239809513
55,11049,0.012415299192070961
55,11099,0.01694292202591896
55,11149,0.02166414074599743
55,11199,0.01227379310876131
56,11249,0.015030448324978352
56,11299,0.017606668174266815
56,11349,0.021406807005405426
56,11399,0.013400234282016754
57,11449,0.01289150957018137
57,11499,0.016881849616765976
57,11549,0.0231744684278965
57,11599,0.011154483072459698
58,11649,0.014189177192747593
58,11699,0.01774151809513569
58,11749,0.021357867866754532
58,11799,0.013991200365126133
59,11849,0.014630437828600407
59,11899,0.015767857432365417
59,11949,0.02174498699605465
59,11999,0.013590820133686066
60,12049,0.01364569365978241
60,12099,0.01605316251516342
60,12149,0.022181788459420204
60,12199,0.011215116828680038
61,12249,0.013934241607785225
61,12299,0.018331311643123627
61,12349,0.023888135328888893
61,12399,0.009284722618758678
62,12449,0.01457974873483181
62,12499,0.015412011183798313
62,12549,0.02202683687210083
62,12599,0.0070572649128735065
63,12649,0.014338929206132889
63,12699,0.016602827236056328
63,12749,0.022084595635533333
63,12799,0.009261212311685085
64,12849,0.013940010219812393
64,12899,0.018541142344474792
64,12949,0.023843910545110703
64,12999,0.012639430351555347
65,13049,0.012707207351922989
65,13099,0.014581633731722832
65,13149,0.02094893716275692
65,13199,0.011877637356519699
66,13249,0.014121112413704395
66,13299,0.01638842187821865
66,13349,0.02129882201552391
66,13399,0.01110999844968319
67,13449,0.014593961648643017
67,13499,0.015608644112944603
67,13549,0.02203892543911934
67,13599,0.006504444405436516
68,13649,0.014972809702157974
68,13699,0.018861841410398483
68,13749,0.0208711177110672
68,13799,0.011004830710589886
69,13849,0.014026704244315624
69,13899,0.016486752778291702
69,13949,0.02100970968604088
69,13999,0.00857721921056509
70,14049,0.013712571933865547
70,14099,0.01742781139910221
70,14149,0.022096998989582062
70,14199,0.013575416058301926
71,14249,0.012853519059717655
71,14299,0.016144027933478355
71,14349,0.021434800699353218
71,14399,0.01006699725985527
72,14449,0.013142665848135948
72,14499,0.014754002913832664
72,14549,0.02203599363565445
72,14599,0.010211740620434284
73,14649,0.01603996939957142
73,14699,0.016173245385289192
73,14749,0.02130844071507454
73,14799,0.008267749100923538
74,14849,0.014150639995932579
74,14899,0.016086984425783157
74,14949,0.02211897261440754
74,14999,0.01032279059290886
75,15049,0.013547776266932487
75,15099,0.017150375992059708
75,15149,0.02117125503718853
75,15199,0.008881434798240662
76,15249,0.014507148414850235
76,15299,0.015069583430886269
76,15349,0.021052001044154167
76,15399,0.010946178808808327
77,15449,0.013969801366329193
77,15499,0.014359856024384499
77,15549,0.021157607436180115
77,15599,0.01052785012871027
78,15649,0.013364376500248909
78,15699,0.017169123515486717
78,15749,0.02179238386452198
78,15799,0.00818213727325201
79,15849,0.012908177450299263
79,15899,0.014513412490487099
79,15949,0.02257975935935974
79,15999,0.00845408160239458
80,16049,0.013834336772561073
80,16099,0.01680457964539528
80,16149,0.020140081644058228
80,16199,0.00953632965683937
81,16249,0.014544002711772919
81,16299,0.016983015462756157
81,16349,0.020531561225652695
81,16399,0.007487842347472906
82,16449,0.014571829698979855
82,16499,0.015009196475148201
82,16549,0.02051636204123497
82,16599,0.009091499261558056
83,16649,0.014432176016271114
83,16699,0.014777772128582
83,16749,0.023036448284983635
83,16799,0.010056241415441036
84,16849,0.01590898633003235
84,16899,0.01841524802148342
84,16949,0.021797548979520798
84,16999,0.009031121619045734
85,17049,0.014618792571127415
85,17099,0.01938982680439949
85,17149,0.02101702243089676
85,17199,0.01075749471783638
86,17249,0.013348172418773174
86,17299,0.014447307214140892
86,17349,0.019902434200048447
86,17399,0.010194038972258568
87,17449,0.014796203002333641
87,17499,0.0171358622610569
87,17549,0.01958288811147213
87,17599,0.0075777443125844
88,17649,0.013865141198039055
88,17699,0.018292918801307678
